Sample_ID,Time,Treatment,Volume,particle_size,Dilution_factor,Injection,tech_N,tech_mean,tech_sd,tech_se
1,48,BPS,145.0,147.5,25.0,2,3,67337166.66666667,11569778.21768673,6679814.568445702
1,48,BPS,145.0,148.5,25.0,1,3,28294275.0,26116097.11058249,15078135.69697721
1,48,BPS,145.0,148.5,25.0,2,3,66771458.333333336,11916171.168949712,6879804.632102774
1,48,BPS,145.0,149.5,25.0,1,3,29312500.0,27278274.085982785,15749118.886570554
1,48,BPS,145.0,149.5,25.0,2,3,66176825.0,12354963.832226504,7133141.6943640625
1,48,BPS,145.0,150.5,25.0,1,3,30309841.666666668,28397667.89327001,16395401.202537034
1,48,BPS,145.0,150.5,25.0,2,3,65543225.0,12869791.225215156,7430377.428292254
1,48,BPS,145.0,151.5,25.0,1,3,31272175.0,29451003.35235839,17003544.71338869
1,48,BPS,145.0,151.5,25.0,2,3,64861075.0,13439237.364593089,7759147.310151097
1,48,BPS,145.0,152.5,25.0,1,3,32186075.0,30417341.677682403,17561460.40564276
1,48,BPS,145.0,152.5,25.0,2,3,64121350.0,14039540.407564094,8105732.4336057585
1,48,BPS,145.0,153.5,25.0,1,3,33039216.666666668,31278780.955508932,18058812.604586422
1,48,BPS,145.0,153.5,25.0,2,3,63316041.666666664,14646796.315584112,8456331.795568107
1,48,BPS,145.0,154.5,25.0,1,3,33820641.666666664,32020933.561347153,18487294.6113469
