particle_size,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02
312.5,0,4720,0,0,0,0,0,0,0,0,0,1537
313.5,0,6524,0,0,0,0,0,0,0,0,0,1234
314.5,0,8817,0,0,0,0,0,0,0,0,0,972
315.5,0,11653,0,0,0,0,0,0,0,0,0,752
316.5,0,15058,0,0,0,0,0,0,0,0,0,571
317.5,0,19023,0,0,0,0,0,0,0,0,0,426
318.5,0,23497,0,0,0,0,0,0,0,0,0,312
319.5,0,28376,0,0,0,0,0,0,0,0,0,224
320.5,0,33504,0,0,0,0,0,0,0,0,0,158
321.5,0,38678,0,0,0,0,0,0,0,0,0,109
322.5,0,43657,0,0,0,0,0,0,0,0,0,74
323.5,0,48182,0,0,0,0,0,0,0,0,0,50
324.5,0,51999,0,0,0,0,0,0,0,0,0,33
325.5,0,54876,0,0,0,0,0,0,0,0,0,21
326.5,0,56636,0,0,0,0,0,0,0,0,0,13
327.5,0,57167,0,0,0,0,0,0,0,0,0,8
328.5,0,56438,0,0,0,0,0,0,0,0,0,5
329.5,0,54500,0,0,0,0,0,0,0,0,0,3
330.5,0,51484,0,0,0,0,0,0,0,0,0,2
331.5,0,47579,0,0,0,0,0,0,0,0,0,1
332.5,0,43021,0,0,0,0,0,0,0,0,0,0
333.5,0,38062,0,0,0,0,0,0,0,0,0,0
334.5,0,32953,0,0,0,0,0,0,0,0,0,0
335.5,0,27921,0,0,0,0,0,0,0,0,0,0
336.5,0,23156,0,0,0,0,0,0,0,0,0,0
337.5,0,18797,0,0,0,0,0,0,0,0,0,0
338.5,0,14938,0,0,0,0,0,0,0,0,0,0
339.5,0,11623,0,0,0,0,0,0,0,0,0,0
340.5,0,8855,0,0,0,0,0,0,0,0,0,0
341.5,0,6606,0,0,0,0,0,0,0,0,0,0
342.5,0,4827,0,0,0,0,0,0,0,0,0,0
343.5,0,3455,0,0,0,0,0,0,0,0,0,0
344.5,0,2422,0,0,0,0,0,0,0,0,0,0
345.5,0,1663,0,0,0,0,0,0,0,0,0,0
346.5,0,1120,0,0,0,0,0,0,0,0,0,0
347.5,0,738,0,0,0,0,0,0,0,0,0,0
348.5,0,477,0,0,0,0,0,0,0,0,0,0
349.5,0,302,0,0,0,0,0,0,0,0,0,0
350.5,0,188,0,0,0,0,0,0,0,0,0,0
351.5,0,114,0,0,0,0,0,0,0,0,0,0
352.5,0,68,0,0,0,0,0,0,0,0,0,0
353.5,0,40,0,0,0,0,0,0,0,0,0,0
354.5,0,23,0,0,0,0,0,0,0,0,0,0
355.5,0,13,0,0,0,0,0,0,0,0,0,0
356.5,0,7,0,0,0,0,0,0,0,0,0,0
357.5,0,4,0,0,0,0,0,0,0,0,0,0
358.5,0,2,0,0,0,0,0,0,0,0,0,0
359.5,0,1,0,0,0,0,0,0,0,0,0,0
360.5,0,0,0,0,0,0,0,0,0,0,0,0
361.5,0,0,0,0,0,0,0,0,0,0,0,0
362.5,0,0,0,0,0,0,0,0,0,0,0,0
363.5,0,0,0,0,0,0,0,0,0,0,0,0
364.5,0,0,0,0,0,0,0,0,0,0,0,0
365.5,0,0,0,0,0,0,0,0,0,0,0,0
366.5,0,0,0,0,0,0,0,0,0,0,0,0
367.5,0,0,0,0,0,0,0,0,0,0,0,0
368.5,0,0,0,0,0,0,0,0,0,0,0,0
369.5,0,0,0,0,0,0,0,0,0,0,0,0
370.5,0,0,0,0,0,0,0,0,0,0,0,0
371.5,0,0,0,0,0,0,0,0,0,0,0,0
372.5,0,0,0,0,0,0,0,0,0,0,0,0
373.5,0,0,0,0,0,0,0,0,0,0,0,0
374.5,0,0,0,0,0,0,0,0,0,0,0,0
375.5,0,0,0,0,0,0,0,0,0,0,0,0
376.5,0,0,0,0,0,0,0,0,0,0,0,0
377.5,0,0,0,0,0,0,0,0,0,0,0,0
378.5,0,0,0,0,0,0,0,0,0,0,0,0
379.5,0,0,0,0,0,0,0,0,0,0,0,0
380.5,0,0,0,0,0,0,0,0,0,0,0,0
381.5,0,0,0,0,0,0,0,0,0,0,0,0
382.5,0,0,0,0,0,0,0,0,0,0,0,0
383.5,0,0,0,0,0,0,0,0,0,0,0,0
384.5,0,0,0,0,0,0,0,0,0,0,0,0
385.5,0,0,0,0,0,0,0,0,0,0,0,0
386.5,0,0,0,0,0,0,0,0,0,0,0,0
387.5,0,0,0,0,0,0,0,0,0,0,0,0
388.5,0,0,0,0,0,0,0,0,0,0,0,0
389.5,0,0,0,0,0,0,0,0,0,0,0,0
390.5,0,0,0,0,0,0,0,0,0,0,0,0
