particle_size,mG15.5_yes_500_00,mG15.5_yes_500_01,mG15.5_yes_500_02,mG15.5_no_500_00,mG15.5_no_500_01,mG15.5_no_500_02,400_yes_50_00,400_yes_50_01,400_yes_50_02,400_no_50_00,400_no_50_01,400_no_50_02,200_yes_125_00,200_yes_125_01,200_yes_125_02,200_no_125_00,200_no_125_01,200_no_125_02,fluorx100_no_125_00,fluorx100_no_125_01,fluorx100_no_125_02,fluorx100_yes_125_00,fluorx100_yes_125_01,fluorx100_yes_125_02,fluor_no_125_00,fluor_no_125_01,fluor_no_125_02,fluor_yes_125_00,fluor_yes_125_01,fluor_yes_125_02,100_no_125_00,100_no_125_01,100_no_125_02,100_yes_125_00,100_yes_125_01,100_yes_125_02
113.5,11216,0,0,1553653,5283069,855951,0,0,0,377,3194,83974,0,0,0,12856,0,19,6448273,2227155,4480658,3058297,2387215,2072771,5276470,2715920,1496013,7219807,5973942,7634234,3913282,2920844,3968021,0,0,0
114.5,5667,0,0,1594544,5231038,791218,0,0,0,424,3001,86548,0,0,0,13952,0,23,5999450,1860252,4331394,3029429,2372759,2090703,4740800,2273437,1236346,6588041,5456555,5951704,3450091,2391683,3528057,0,0,0
115.5,2643,0,0,1647583,5075386,738988,0,0,0,484,2832,88417,0,0,0,15266,0,27,5548362,1571412,4180471,2998092,2356384,2110063,4228186,1911633,1037460,5998846,4989014,4472551,3042690,1958855,3125137,0,0,0
116.5,1140,0,0,1711890,4827437,697706,0,0,0,560,2684,89200,0,0,0,16829,0,32,5106579,1345572,4030694,2965701,2338768,2133145,3742480,1617896,885169,5454993,4569879,3244001,2685176,1607667,2759412,0,0,0
117.5,456,0,0,1786150,4505118,666085,0,0,0,657,2556,88540,0,0,0,18673,0,39,4683349,1170372,3884576,2933587,2320501,2161961,3286741,1380580,768531,4957260,4195946,2275023,2371878,1324490,2430141,0,0,0
118.5,170,0,0,1868520,4130285,643085,0,0,0,781,2446,86156,0,0,0,20837,0,47,4285538,1035932,3744291,2902964,2302101,2198188,2863296,1189443,679217,4504836,3862820,1546024,2097539,1097205,2135882,0,0,0
119.5,59,0,0,1956562,3725801,627881,0,0,0,939,2354,81909,0,0,0,23362,0,58,3917767,934523,3611647,2874915,2284033,2243143,2473772,1035776,610926,4095714,3565378,1020664,1857400,915375,1874667,0,0,0
120.5,19,0,0,2047208,3312972,619840,0,0,0,1141,2277,75840,0,0,0,26293,0,72,3582678,860237,3488092,2850380,2266718,2297771,2119111,912348,558900,3727056,3298140,656516,1647229,770228,1644179,0,0,0
121.5,6,0,0,2136806,2909697,618493,0,0,0,1401,2216,68200,0,0,0,29676,0,91,3281282,808672,3374717,2830149,2250543,2362629,1799585,813245,519537,3395502,3055554,412762,1463303,654532,1441888,0,0,0
122.5,2,0,0,2221236,2529498,623511,0,0,0,1737,2169,59422,0,0,0,33560,0,118,3013313,776668,3272293,2814866,2235866,2437884,1514815,733688,490082,3097428,2832226,254546,1302373,562414,1265185,0,0,0
123.5,0,0,0,2296122,2181345,634676,0,0,0,2173,2137,50068,0,0,0,37991,0,154,2777583,762092,3181295,2805038,2223020,2523292,1263812,669827,468401,2829146,2623118,154552,1161611,489163,1111471,0,0,0
124.5,0,0,0,2357123,1870082,651862,0,0,0,2738,2119,40740,0,0,0,43013,0,206,2572280,763661,3101940,2801036,2212310,2618192,1045045,618567,452800,2587058,2423723,92761,1038557,431033,978238,0,0,0
