particle_size,16_3_20_1_00,16_3_20_1_01,16_3_20_1_02,16_2_20_1_00,16_2_20_1_01,16_2_20_1_02,16_1_4_1_00,16_1_4_1_01,16_1_4_1_02,14_3_20_1_00,14_3_20_1_01,14_3_20_1_02,14_2_16_1_00,14_2_16_1_01,14_2_16_1_02,14_1_4_1_00,14_1_4_1_01,14_1_4_1_02
669.5,0,0,787,0,6278,0,29408,4148,0,14181,109,0,0,35093,83898,5183,688,0
670.5,0,0,812,0,5863,0,31130,3926,0,13442,93,0,0,36123,82796,5394,605,0
671.5,0,0,840,0,5466,0,32776,3713,0,12736,80,0,0,37178,81647,5612,532,0
672.5,0,0,872,0,5085,0,34321,3510,0,12060,69,0,0,38257,80454,5839,468,0
673.5,0,0,906,0,4721,0,35742,3315,0,11414,59,0,0,39359,79217,6073,413,0
674.5,0,0,944,0,4375,0,37017,3129,0,10798,50,0,0,40482,77939,6315,364,0
675.5,0,0,986,0,4046,0,38124,2952,0,10211,43,0,0,41626,76623,6565,322,0
676.5,0,0,1032,0,3734,0,39044,2783,0,9652,37,0,0,42787,75269,6824,285,0
677.5,0,0,1082,0,3439,0,39761,2621,0,9120,31,0,0,43965,73881,7091,253,0
678.5,0,0,1138,0,3161,0,40262,2468,0,8614,27,0,0,45156,72461,7366,225,0
679.5,0,0,1198,0,2900,0,40536,2322,0,8133,23,0,0,46359,71011,7650,200,0
680.5,0,0,1265,0,2654,0,40577,2183,0,7676,20,0,0,47571,69534,7943,178,0
681.5,0,0,1337,0,2425,0,40385,2051,0,7243,17,0,0,48789,68033,8245,160,0
682.5,0,0,1416,0,2211,0,39959,1925,0,6832,14,0,0,50009,66510,8556,143,0
683.5,0,0,1503,0,2011,0,39308,1806,0,6443,12,0,0,51229,64968,8875,128,0
684.5,0,0,1597,0,1826,0,38441,1694,0,6074,10,0,0,52446,63411,9204,116,0
685.5,0,0,1700,0,1654,0,37372,1587,0,5726,9,0,0,53654,61840,9543,104,0
686.5,0,0,1812,0,1495,0,36118,1486,0,5396,8,0,0,54850,60259,9891,94,0
687.5,0,0,1934,0,1349,0,34698,1390,0,5084,7,0,0,56031,58670,10248,86,0
688.5,0,0,2068,0,1214,0,33137,1300,0,4790,6,0,0,57192,57076,10616,78,0
689.5,0,0,2213,0,1091,0,31456,1215,0,4511,5,0,0,58327,55481,10993,71,0
690.5,0,0,2371,0,978,0,29682,1134,0,4249,4,0,0,59434,53886,11380,65,0
691.5,0,0,2543,0,875,0,27839,1058,0,4001,4,0,0,60506,52294,11778,60,0
692.5,0,0,2731,0,781,0,25954,987,0,3768,3,0,0,61540,50709,12186,55,0
693.5,0,0,2934,0,695,0,24050,919,0,3548,3,0,0,62530,49132,12605,51,0
694.5,0,0,3156,0,618,0,22150,856,0,3340,2,0,0,63471,47566,13035,47,0
695.5,0,0,3396,0,548,0,20277,797,0,3145,2,0,0,64358,46013,13476,44,0
696.5,0,0,3657,0,485,0,18449,741,0,2961,2,0,0,65187,44476,13929,41,0
697.5,0,0,3941,0,428,0,16684,688,0,2788,1,0,0,65952,42956,14393,38,0
698.5,0,0,4248,0,377,0,14996,639,0,2625,1,0,0,66649,41456,14869,36,0
699.5,0,0,4580,0,332,0,13396,593,0,2471,1,0,0,67273,39978,15358,34,0
700.5,0,0,4940,0,291,0,11893,550,0,2327,0,0,0,67820,38523,15859,32,0
701.5,0,0,5329,0,255,0,10494,509,0,2191,0,0,0,68285,37094,16373,31,0
702.5,0,0,5749,0,223,0,9203,472,0,2063,0,0,0,68665,35691,16900,29,0
703.5,0,0,6202,0,194,0,8021,437,0,1943,0,0,0,68956,34316,17442,28,0
704.5,0,0,6690,0,169,0,6948,404,0,1831,0,0,0,69154,32970,17997,27,0
705.5,0,0,7215,0,147,0,5981,373,0,1724,0,0,0,69256,31655,18567,26,0
706.5,0,0,7779,0,127,0,5118,344,0,1625,0,0,0,69261,30371,19153,25,0
707.5,0,0,8384,0,110,0,4351,318,0,1531,0,0,0,69165,29119,19754,24,0
708.5,0,0,9032,0,95,0,3677,293,0,1443,0,0,0,68968,27900,20371,24,0
709.5,0,0,9724,0,82,0,3088,270,0,1360,0,0,0,68668,26715,21005,23,0
710.5,0,0,10463,0,70,0,2578,249,0,1282,0,0,0,68264,25564,21656,23,0
711.5,0,0,11250,0,60,0,2138,229,0,1209,0,0,0,67757,24448,22326,23,0
712.5,0,0,12086,0,51,0,1763,210,0,1140,0,0,0,67147,23366,23014,23,0
713.5,0,0,12973,0,44,0,1444,193,0,1076,0,0,0,66435,22319,23721,23,0
714.5,0,0,13911,0,37,0,1176,177,0,1015,0,0,0,65624,21307,24449,23,0
715.5,0,0,14901,0,32,0,952,163,0,958,0,0,0,64714,20329,25198,23,0
716.5,0,0,15943,0,27,0,765,149,0,904,0,0,0,63708,19387,25968,23,0
