275.5,22733697,14092483,24008859,205003807,0,53167769,38199703,
276.5,20354440,12309662,21654336,215763572,0,54016402,40620070,
277.5,18200636,10750252,19550238,226581926,0,55016610,43031544,
278.5,16253077,9390110,17672593,237325314,0,56128219,45407090,
279.5,14493960,8206760,15999116,247846673,0,57309302,47717707,
280.5,12906821,7179502,14509237,257988026,0,58516717,49932675,
281.5,11476475,6289458,13184082,267583875,0,59706778,52020054,
282.5,10188941,5519557,12006435,276465335,0,60836054,53947377,
283.5,9031367,4854488,10960669,284464865,0,61862278,55682502,
284.5,7991957,4280613,10032664,291421436,0,62745334,57194588,
285.5,7059890,3785866,9209713,297185891,0,63448272,58455124,
286.5,6225254,3359631,8480428,301626248,0,63938312,59438966,
287.5,5478969,2992619,7834637,304632643,0,64187774,60125307,
288.5,4812728,2676742,7263279,306121655,0,64174881,60498543,
289.5,4218927,2404984,6758315,306039736,0,63884393,60548947,
290.5,3690615,2171287,6312629,304365544,0,63308015,60273147,
291.5,3221433,1970436,5919940,301111022,0,62444566,59674339,
292.5,2805572,1797960,5574723,296321151,0,61299881,58762245,
293.5,2437722,1650032,5272128,290072389,0,59886454,57552808,
294.5,2113036,1523395,5007917,282469875,0,58222844,56067636,
295.5,1827088,1415277,4778397,273643569,0,56332866,54333239,
296.5,1575845,1323334,4580367,263743560,0,54244621,52380094,
297.5,1355630,1245590,4411062,252934794,0,51989415,50241596,
298.5,1163097,1180385,4268115,241391523,0,49600624,47952956,
299.5,995206,1126340,4149514,229291756,0,47112563,45550093,
300.5,849196,1082313,4053566,216811980,0,44559411,43068581,
301.5,722568,1047373,3978873,204122377,0,41974238,40542701,
302.5,613064,1020777,3924298,191382711,0,39388170,38004618,
303.5,518643,1001946,3888950,178739022,0,36829712,35483726,
304.5,437472,990447,3872160,166321156,0,34324247,33006153,
305.5,367905,985986,3873470,154241179,0,31893708,30594452,
306.5,308468,988391,3892615,142592593,0,29556413,28267441,
307.5,257847,997613,3929514,131450308,0,27327056,26040206,
308.5,214872,1013713,3984263,120871239,0,25216818,23924219,
309.5,178508,1036867,4057125,110895415,0,23233583,21927566,
310.5,147837,1067363,4148524,101547472,0,21382239,20055248,
311.5,122056,1105604,4259044,92838400,0,19665021,18309533,
312.5,100455,1152111,4389420,84767430,0,18081883,16690340,
313.5,82419,1207534,4540536,77323959,0,16630890,15195630,
314.5,67410,1272654,4713424,70489435,0,15308585,13821789,
315.5,54962,1348397,4909256,64239136,0,14110350,12563994,
316.5,44673,1435843,5129341,58543789,0,13030729,11416544,
317.5,36197,1536242,5375120,53371015,0,12063715,10373168,
318.5,29239,1651025,5648158,48686575,0,11202999,9427288,
319.5,23546,1781821,5950130,44455418,0,10442183,8572245,
320.5,18903,1930476,6282818,40642535,0,9774946,7801502,
