particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02
350.5,0,0,0,0,15353,0,0,0,0,0,0,0
351.5,0,0,0,0,17037,0,0,0,0,0,0,0
352.5,0,0,0,0,18699,0,0,0,0,0,0,0
353.5,1,0,0,0,20297,0,0,0,0,0,0,0
354.5,1,0,0,0,21789,0,0,0,0,0,0,0
355.5,1,0,0,0,23129,0,0,0,0,0,0,0
356.5,1,0,0,0,24277,0,0,0,0,0,0,0
357.5,1,0,0,0,25194,0,0,0,0,0,0,0
358.5,2,0,0,0,25851,0,0,0,0,0,0,0
359.5,2,0,0,0,26224,0,0,0,0,0,0,0
360.5,2,0,0,0,26300,0,0,0,0,0,0,0
361.5,2,0,0,0,26074,0,0,0,0,0,0,0
362.5,2,0,0,0,25555,0,0,0,0,0,0,0
363.5,3,0,0,0,24759,0,0,0,0,0,0,0
364.5,3,0,0,0,23713,0,0,0,0,0,0,0
365.5,3,0,0,0,22450,0,0,0,0,0,0,0
366.5,3,0,0,0,21010,0,0,0,0,0,0,0
367.5,4,0,0,0,19437,0,0,0,0,0,0,0
368.5,4,0,0,0,17775,0,0,0,0,0,0,0
369.5,4,0,0,0,16068,0,0,0,0,0,0,0
370.5,5,0,0,0,14358,0,0,0,0,0,0,0
371.5,5,0,0,0,12683,0,0,0,0,0,0,0
372.5,5,0,0,0,11075,0,0,0,0,0,0,0
373.5,6,0,0,0,9561,0,0,0,0,0,0,0
374.5,6,0,0,0,8159,0,0,0,0,0,0,0
375.5,7,0,0,0,6883,0,0,0,0,0,0,0
376.5,8,0,0,0,5741,0,0,0,0,0,0,0
377.5,8,0,0,0,4734,0,0,0,0,0,0,0
378.5,9,0,0,0,3859,0,0,0,0,0,0,0
379.5,9,0,0,0,3111,0,0,0,0,0,0,0
380.5,10,0,0,0,2479,0,0,0,0,0,0,0
381.5,11,0,0,0,1953,0,0,0,0,0,0,0
382.5,12,0,0,0,1522,0,0,0,0,0,0,0
383.5,13,0,0,0,1173,0,0,0,0,0,0,0
384.5,14,0,0,0,893,0,0,0,0,0,0,0
385.5,15,0,0,0,673,0,0,0,0,0,0,0
386.5,16,0,0,0,501,0,0,0,0,0,0,0
387.5,17,0,0,0,369,0,0,0,0,0,0,0
388.5,19,0,0,0,269,0,0,0,0,0,0,0
389.5,20,0,0,0,194,0,0,0,0,0,0,0
390.5,21,0,0,0,138,0,0,0,0,0,0,0
391.5,23,0,0,0,97,0,0,0,0,0,0,0
392.5,25,0,0,0,68,0,0,0,0,0,0,0
393.5,26,0,0,0,47,0,0,0,0,0,0,0
394.5,28,0,0,0,32,0,0,0,0,0,0,0
395.5,30,0,0,0,22,0,0,0,0,0,0,0
396.5,32,0,0,0,14,0,0,0,0,0,0,0
397.5,35,0,0,0,10,0,0,0,0,0,0,0
398.5,37,0,0,0,6,0,0,0,0,0,0,0
399.5,40,0,0,0,4,0,0,0,0,0,0,0
400.5,42,0,0,0,3,0,0,0,0,0,0,0
401.5,45,0,0,0,2,0,0,0,0,0,0,0
