particle_size,1_125_1_00,1_125_1_01,1_125_1_02,1_125_2_00,1_125_2_01,1_125_2_02,2_125_1_00,2_125_1_01,2_125_1_02,2_125_2_00,2_125_2_01,2_125_2_02,3_125_1_00,3_125_1_01,3_125_1_02,3_125_2_00,3_125_2_01,3_125_2_02,4_125_1_00,4_125_1_01,4_125_1_02,4_125_2_00,4_125_2_01,4_125_2_02,5_125_1_00,5_125_1_01,5_125_1_02,5_125_2_00,5_125_2_01,5_125_2_02,6_125_1_00,6_125_1_01,6_125_1_02,6_125_2_00,6_125_2_01,6_125_2_02
124.5,8561213,7249147,6606099,7186084,5550674,2753822,4900015,5774019,2056537,4219644,3135927,2202699,1494673,2324071,2733871,6729457,6092765,6688019,1626155,7665648,4440103,6227913,4478214,3831784,6561406,7701501,6520365,7390182,6403035,6457601,5860762,7262379,3580503,8390470,6697136,5556820
125.5,8492764,7075038,6406016,7209842,5433861,2781956,4729882,5433951,2109146,4220458,3120904,2187463,1357839,2376203,2675013,6556374,6049948,6291734,1763140,7476558,4499705,6100298,4407774,3814849,6703560,7877474,6319036,7347408,6193529,6448431,5807716,7252720,3460083,8076589,6813305,5363389
126.5,8379912,6897571,6205247,7202039,5331582,2828260,4565122,5079034,2171345,4213226,3114602,2176130,1243339,2453175,2626895,6378985,5984223,5893291,1937539,7242416,4562098,5978894,4342782,3814724,6858125,8039918,6124994,7297036,6009618,6450828,5719072,7192099,3362184,7762075,6935984,5181315
127.5,8225381,6718584,6004472,7153315,5243721,2892738,4407655,4717624,2242372,4195843,3116357,2167784,1148498,2554745,2589998,6199481,5895935,5499833,2152913,6971987,4624960,5862386,4282510,3833033,7022123,8183025,5939540,7238904,5851147,6461460,5597451,7081355,3285548,7451359,7058788,5011051
128.5,8033197,6539462,5804062,7056867,5169881,2975319,4258996,4357671,2321265,4166303,3125405,2161542,1070981,2680432,2564555,6019732,5786215,5117206,2412879,6674550,4685986,5749476,4226363,3871303,7192314,8300907,5763528,7173066,5717538,6476858,5446915,6923413,3228870,7148159,7175141,4852784
129.5,7808431,6361132,5604174,6909056,5109379,3075805,4120263,4006318,2406832,4122814,3140874,2156587,1008799,2829365,2550570,5841286,5656885,4749981,2720658,6359342,4742930,5638940,4173870,3930922,7365205,8387773,5597441,7099793,5607885,6493497,5272619,6723037,3190831,6855493,7278513,4706538
130.5,7556889,6184080,5404851,6709731,5061232,3193795,3992198,3669614,2497633,4063916,3161788,2152185,960294,3000111,2547840,5665383,5510334,4401547,3078508,6035092,4793653,5529673,4124682,4013098,7537078,8438153,5441458,7019561,5521032,6507889,5080402,6486450,3170129,6575712,7362707,4572243
131.5,7284783,6008394,5206101,6462203,5024155,3328605,3875194,3352352,2591976,3988582,3187062,2147712,924126,3190491,2555961,5492980,5349372,4074244,3487064,5709659,4836172,5420727,4078558,4118792,7704043,8447175,5295525,6933033,5455635,6516687,4876369,6220874,3165476,6310555,7422159,4449804
132.5,6998410,5833828,5007972,6172845,4996556,3479183,3769330,3058025,2687932,3896310,3215506,2142666,899241,3397418,2574335,5324786,5177066,3769521,3944637,5389806,4868698,5311334,4035351,4248641,7862098,8410863,5159416,6841036,5410212,6516799,4666509,5934045,3175601,6061211,7452228,4339136
133.5,6703869,5659877,4810601,5850387,4976538,3644021,3674405,2788879,2783367,3787190,3245840,2136680,884858,3616764,2602164,5161298,4996596,3488085,4446544,5081085,4889673,5200924,3994990,4402839,8007219,8326437,5032786,6744523,5383177,6505494,4456380,5633740,3199232,5828391,7449447,4240189
134.5,6406821,5485863,4614252,5505018,4961913,3821082,3589981,2546051,2876001,3661928,3276700,2129521,880437,3843302,2638442,5002844,4811108,3230060,4984581,4787822,4897797,5089135,3957464,4580994,8135458,8192583,4915218,6644543,5372863,6480503,4250877,5327373,3235086,5612402,7411699,4152966
135.5,6112322,5311024,4419336,5147428,4950221,4007735,3515409,2329750,2963481,3521839,3306664,2121095,885664,4070724,2681949,4849619,4623600,2995115,5546762,4513183,4892048,4975800,3922800,4781966,8243050,8009650,4806258,6542198,5377543,6440100,4054103,5021674,3281846,5413214,7338313,4077520
136.5,5824705,5134604,4226412,4787934,4938774,4200724,3449868,2139458,3043478,3368791,3334278,2111427,900426,4291781,2731242,4701720,4436833,2782594,6117430,4259297,4871691,4860950,3891047,5003663,8326530,7779750,4705443,6438609,5395440,6383159,3869310,4722468,3338151,5230529,7230056,4013957
137.5,5547532,4955938,4036173,4435781,4924713,4396175,3392392,1974137,3113790,3205118,3358086,2100654,924795,4498529,2784660,4559182,4253259,2591607,6677814,4027397,4836282,4744785,3862257,5242854,8382843,7506730,4612324,6334884,5424735,6309176,3698916,4434557,3402578,5063835,7089025,3962426
138.5,5283590,4774526,3849422,4098678,4905085,4589646,3341903,1832413,3172446,3033496,3376674,2089003,959008,4682691,2840338,4422004,4074993,2421120,7207038,3817987,4785660,4627658,3836471,5494981,8409446,7196020,4526476,6232078,5463578,6218261,3544573,4161688,3473635,4912461,6918463,3923102
139.5,5034930,4590099,3667042,3782574,4876948,4776237,3297235,1712737,3217806,2856803,3388706,2076766,1003444,4836115,2896232,4290170,3903789,2270024,7683516,3630996,4719935,4510050,3813707,5754020,8404398,6854355,4447510,6131176,5510094,6111096,3407258,3906593,3549760,4775619,6722509,3896182
140.5,4802929,4402658,3489952,3491653,4837486,4950741,3257165,1613510,3248645,2677971,3392972,2064281,1058603,4951279,2950161,4163668,3741055,2137184,8086595,3465921,4639471,4392533,3793944,6012422,8366426,6489393,4375071,6033067,5562392,5988874,3287384,3671083,3629319,4652443,6505913,3881860
141.5,4588375,4212505,3319071,3228475,4784146,5107859,3220445,1533186,3264214,2499846,3388424,2051905,1125076,5021813,2999878,4042502,3587863,2021487,8398233,3321953,4544862,4275752,3777116,6261176,8294969,6109284,4308839,5938529,5618576,5853201,3184901,3456173,3710620,4542016,6273747,3880317
142.5,4391552,4020240,3155278,2994234,4714773,5242437,3185831,1470331,3264267,2325061,3374219,2039995,1203509,5042975,3043135,3926700,3444987,1921866,8604504,3198073,4436909,4160388,3763105,6490008,8190191,5722215,4248524,5848219,5676755,5706002,3099396,3262215,3791928,4443396,6031132,3891697
143.5,4212332,3826743,2999382,2789043,4627745,5349736,3152115,1423676,3249063,2155939,3349748,2028887,1294555,5012023,3077781,3816316,3312937,1837332,8696727,3093139,4316593,4047135,3751736,6687772,8052970,5335990,4193857,5762667,5735056,5549409,3030172,3089042,3871484,4355636,5782998,3916092
144.5,4050257,3633137,2852091,2612235,4522084,5425689,3118162,1392129,3219332,1994427,3314662,2018880,1398824,4928454,3101853,3711436,3191997,1766984,8672076,3005940,4185045,3936678,3742774,6843010,7884856,4957672,4144581,5682272,5791636,5385662,2976310,2936090,3947536,4277797,5533904,3953509
145.5,3904612,3440729,2713998,2462629,4397541,5467138,3082942,1374787,3176221,1842057,3268884,2010223,1516812,4794068,3113672,3612167,3082264,1710022,8533618,2935236,4043524,3829669,3735924,6944669,7688007,4593325,4100439,5607309,5844699,5217007,2936718,2802512,4018366,4208959,5287898,4003854
