particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_after_125_2_1_00,std_after_125_2_1_01,std_after_125_2_1_02,std_after_125_2_2_00,std_after_125_2_2_01,std_after_125_2_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02,std_before_125_2_1_00,std_before_125_2_1_01,std_before_125_2_1_02,std_before_125_2_2_00,std_before_125_2_2_01,std_before_125_2_2_02
178.5,29805,423189,27723,206903,2804,0,40480,0,54455,277,5349,1131,149415,196011,4,100,170869,161,0,0,0,74,11441,0
179.5,16020,314230,29338,187390,2106,0,42231,0,61161,211,3653,619,101527,150111,2,104,144130,72,0,0,0,63,6419,0
180.5,8104,213468,31203,169764,1590,0,44010,0,68785,160,2484,335,64850,109690,0,112,117886,31,0,0,0,54,3409,0
181.5,3857,132307,33332,154108,1209,0,45779,0,77266,119,1685,180,38909,76415,0,124,93227,13,0,0,0,45,1716,0
182.5,1727,74630,35736,140428,927,0,47499,0,86464,88,1141,97,21918,50721,0,140,71087,5,0,0,0,38,820,0
183.5,728,38225,38426,128670,718,0,49124,0,96140,64,773,53,11589,32066,0,162,52123,2,0,0,0,32,373,0
184.5,289,17744,41408,118744,563,0,50613,0,105937,46,524,29,5752,19306,0,191,36655,0,0,0,0,27,162,0
185.5,108,7453,44686,110535,448,0,51922,0,115388,32,356,16,2680,11070,0,230,24662,0,0,0,0,23,67,0
186.5,38,2829,48258,103924,362,0,53011,0,123919,22,243,9,1173,6047,0,283,15838,0,0,0,0,19,27,0
187.5,13,969,52114,98795,298,0,53847,0,130895,15,166,6,482,3148,0,354,9688,0,0,0,0,16,10,0
188.5,4,299,56236,95040,250,0,54399,0,135678,10,115,3,187,1563,0,449,5633,0,0,0,0,13,4,0
189.5,1,83,60597,92567,214,0,54646,0,137699,6,80,2,68,741,0,578,3107,0,0,0,0,11,1,0
190.5,0,21,65158,91300,187,0,54575,0,136550,4,56,2,23,335,0,754,1624,0,0,0,0,9,0,0
191.5,0,5,69868,91177,168,0,54182,0,132056,2,40,1,8,145,0,992,802,0,0,0,0,8,0,0
192.5,0,0,74666,92147,154,0,53473,0,124328,1,29,0,2,60,0,1316,375,0,0,0,0,6,0,0
193.5,0,0,79478,94162,145,0,52462,0,113770,0,21,0,0,24,0,1756,165,0,0,0,0,5,0,0
194.5,0,0,84219,97173,140,0,51170,0,101048,0,16,0,0,9,0,2350,69,0,0,0,0,4,0,0
195.5,0,0,88794,101114,139,0,49626,0,87003,0,12,0,0,3,0,3148,27,0,0,0,0,4,0,0
196.5,0,0,93104,105887,141,0,47863,0,72541,0,9,0,0,1,0,4212,10,0,0,0,0,3,0,0
197.5,0,0,97043,111350,148,0,45920,0,58519,0,7,0,0,0,0,5615,3,0,0,0,0,2,0,0
198.5,0,0,100508,117295,158,0,43834,0,45643,0,6,0,0,0,0,7441,1,0,0,0,0,2,0,0
199.5,0,0,103399,123434,174,0,41645,0,34403,0,5,1,0,0,0,9782,0,0,0,0,0,2,0,0
200.5,0,0,105626,129386,196,1,39391,0,25050,0,4,2,0,0,0,12726,0,0,0,0,0,1,0,0
